U1087,Non-smoker,non-drinker,smart casual,solitary,medium
U1088,Non-smoker,non-drinker,informal,family,medium
U1089,Smoker,casual drinker,informal,family,low
U1090,Non-smoker,heavy drinker,smart casual,friends,medium
U1091,Non-smoker,casual drinker,smart casual,family,low
U1092,Non-smoker,non-drinker,formal,solitary,medium
U1093,Smoker,casual drinker,smart casual,family,medium
U1094,Non-smoker,non-drinker,informal,friends,medium
U1095,Non-smoker,non-drinker,formal,family,medium
U1096,Non-smoker,non-drinker,formal,family,medium
U1097,Non-smoker,non-drinker,formal,family,medium
U1098,Non-smoker,heavy drinker,formal,solitary,medium
U1099,Smoker,heavy drinker,informal,friends,high
U1100,Non-smoker,casual drinker,formal,friends,medium
U1101,Non-smoker,casual drinker,smart casual,friends,low
U1102,Non-smoker,heavy drinker,smart casual,friends,low
U1103,Non-smoker,non-drinker,formal,family,medium
U1104,Smoker,casual drinker,smart casual,family,medium
U1105,Non-smoker,heavy drinker,formal,Friends,medium
U1106,Non-smoker,casual drinker,informal,friends,medium
U1107,Non-smoker,non-drinker,smart casual,family,high
U1108,Non-smoker,non-drinker,informal,solitary,medium
U1109,Non-smoker,non-drinker,formal,solitary,low
U1110,Non-smoker,non-drinker,smart casual,family,medium
U1111,Smoker,casual drinker,formal,friends,medium
U1112,Smoker,casual drinker,formal,friends,medium
U1113,Non-smoker,casual drinker,formal,family,medium
U1114,Non-smoker,non-drinker,smart casual,family,medium
U1115,Smoker,heavy drinker,formal,friends,low
U1116,Non-smoker,heavy drinker,formal,friends,medium
U1117,Non-smoker,non-drinker,smart casual,friends,medium
U1118,Smoker,casual drinker,informal,friends,medium
U1119,Non-smoker,non-drinker,formal,family,medium
U1120,Non-smoker,non-drinker,informal,friends,low
U1121,Non-smoker,casual drinker,smart casual,family,medium
U1122,Non-smoker,non-drinker,Formal,friends,high
U1123,Non-smoker,non-drinker,informal,family,medium
U1124,Non-smoker,casual drinker,informal,friends,low
U1125,Non-smoker,casual drinker,formal,friends,low
U1126,Non-smoker,casual drinker,formal,friends,low
U1127,Non-smoker,non-drinker,smart casual,solitary,low
U1128,Non-smoker,casual drinker,smart casual,friends,low
U1129,Non-smoker,casual drinker,smart casual,friends,low
U1130,Non-smoker,non-drinker,formal,solitary,High
U1131,Smoker,heavy drinker,smart casual,friends,medium
U1132,Non-smoker,casual drinker,informal,solitary,medium
U1133,Non-smoker,non-drinker,smart casual,family,medium
U1134,Non-smoker,casual drinker,smart casual,family,medium
U1135,Non-smoker,casual drinker,informal,family,low
U1136,Smoker,heavy drinker,smart casual,friends,low
U1137,Non-smoker,heavy drinker,formal,friends,low
U1138,Non-smoker,heavy drinker,formal,friends,medium
